中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
150.230.42.80,443,104.28.201.73,US,San Jose,隧道,57 ms,440 Mbps,56320 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,70 ms,400 Mbps,51302 kB/s
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,110 ms,188 Mbps,24166 kB/s
3.144.191.4,443,3.144.191.4,US,Chicago,中转,10 ms,569 Mbps,72908 kB/s
34.82.76.253,443,34.82.87.23,US,Seattle,隧道,49 ms,532 Mbps,68096 kB/s
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,96 ms,216 Mbps,27750 kB/s
35.202.158.120,443,35.202.158.120,US,Chicago,中转,14 ms,1016 Mbps,130048 kB/s
140.238.158.238,443,140.238.158.238,CA,Toronto,中转,28 ms,100 Mbps,12800 kB/s
43.153.103.203,443,43.153.103.203,US,San Jose,中转,78 ms,488 Mbps,62566 kB/s
35.230.79.26,443,35.212.251.233,US,Seattle,隧道,81 ms,504 Mbps,64614 kB/s
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,102 ms,44 Mbps,5708 kB/s
129.146.7.98,443,2a09:bac1:7680:e18::26b:a5,US,Los Angeles,隧道,63 ms,69 Mbps,8939 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,115 ms,440 Mbps,56422 kB/s
35.197.23.75,443,35.212.251.233,US,Seattle,隧道,98 ms,484 Mbps,62054 kB/s
43.153.80.208,443,43.153.80.208,US,San Jose,中转,79 ms,472 Mbps,60416 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,21 ms,436 Mbps,55808 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,167 ms,128 Mbps,16384 kB/s
129.146.46.164,443,129.146.46.164,,Los Angeles,中转,0 ms,376 Mbps,48128 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,66 ms,375 Mbps,48025 kB/s
47.253.192.14,443,47.253.192.14,US,Ashburn,中转,22 ms,342 Mbps,43827 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,127 ms,260 Mbps,33280 kB/s
150.136.87.192,443,150.136.87.192,US,Ashburn,中转,21 ms,71 Mbps,9103 kB/s
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,30 ms,74 Mbps,9523 kB/s
129.159.198.107,443,2606:f240:f00:a683:0:1328:358c:17a9,US,Frankfurt,隧道,133 ms,229 Mbps,29388 kB/s
