中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.80.237.223,443,129.80.237.223,US,Ashburn,中转,21 ms,745 Mbps,95436 kB/s,95436.0
35.230.79.26,443,35.212.183.118,US,Seattle,隧道,53 ms,527 Mbps,67481 kB/s,67481.0
18.216.55.100,443,18.216.55.100,US,Chicago,中转,26 ms,459 Mbps,58777 kB/s,58777.0
192.18.130.65,443,192.18.130.65,US,San Jose,中转,55 ms,428 Mbps,54784 kB/s,54784.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,56 ms,408 Mbps,52326 kB/s,52326.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,74 ms,405 Mbps,51916 kB/s,51916.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,58 ms,356 Mbps,45670 kB/s,45670.0
35.197.23.75,443,35.212.183.118,US,Seattle,隧道,49 ms,356 Mbps,45568 kB/s,45568.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,50 ms,350 Mbps,44851 kB/s,44851.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,66 ms,340 Mbps,43520 kB/s,43520.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,68 ms,280 Mbps,35942 kB/s,35942.0
34.82.76.253,443,34.168.86.105,US,Seattle,隧道,49 ms,261 Mbps,33484 kB/s,33484.0
129.159.202.83,443,129.159.202.83,DE,Frankfurt,中转,112 ms,244 Mbps,31232 kB/s,31232.0
84.235.162.73,443,98.98.166.178,US,Frankfurt,隧道,123 ms,205 Mbps,26316 kB/s,26316.0
23.94.217.204,443,23.94.217.204,NL,Amsterdam,中转,111 ms,195 Mbps,24985 kB/s,24985.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,129 ms,193 Mbps,24780 kB/s,24780.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,116 ms,189 Mbps,24268 kB/s,24268.0
141.144.204.88,443,2a0b:21c0:1007:c7:0:ce86:a29:435,DE,Frankfurt,隧道,147 ms,172 Mbps,22118 kB/s,22118.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,118 ms,157 Mbps,20172 kB/s,20172.0
131.186.33.175,443,131.186.33.175,JP,Tokyo,中转,150 ms,155 Mbps,19865 kB/s,19865.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,177 ms,137 Mbps,17612 kB/s,17612.0
35.201.203.106,443,35.201.203.106,TW,Taipei,中转,216 ms,106 Mbps,13619 kB/s,13619.0
158.180.82.186,443,2603:c024:13:6c00::4,KR,Seoul,隧道,195 ms,100 Mbps,12902 kB/s,12902.0
129.146.7.98,443,2a09:bac5:60eb:183c::26a:b4,US,Los Angeles,隧道,62 ms,92 Mbps,11776 kB/s,11776.0
141.148.203.6,443,141.148.203.6,IN,Mumbai,中转,230 ms,85 Mbps,10956 kB/s,10956.0
129.154.207.203,443,2a09:bac1:3f00::22:102,KR,Seoul,隧道,215 ms,81 Mbps,10444 kB/s,10444.0
129.80.177.42,443,129.80.177.42,US,Ashburn,中转,16 ms,69 Mbps,8857 kB/s,8857.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,15 ms,53 Mbps,6834 kB/s,6834.0
47.91.18.127,443,240b:4009:25a:1801:ffff:783f:74e5:c3f0,JP,San Jose,隧道,249 ms,49 Mbps,6370 kB/s,6370.0
84.235.169.234,443,84.235.169.234,NL,Amsterdam,中转,120 ms,46 Mbps,5948 kB/s,5948.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,120 ms,45 Mbps,5787 kB/s,5787.0
130.61.124.127,443,130.61.124.127,DE,Frankfurt,中转,131 ms,43 Mbps,5615 kB/s,5615.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,117 ms,43 Mbps,5542 kB/s,5542.0
