中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,800 Mbps,102400 kB/s,102400.0
35.197.23.75,443,35.212.174.187,US,Seattle,隧道,50 ms,493 Mbps,63180 kB/s,63180.0
35.230.79.26,443,35.212.174.187,US,Seattle,隧道,50 ms,488 Mbps,62464 kB/s,62464.0
34.82.76.253,443,35.230.34.223,US,Seattle,隧道,49 ms,480 Mbps,61440 kB/s,61440.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,49 ms,436 Mbps,55910 kB/s,55910.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,416 Mbps,53248 kB/s,53248.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,48 ms,409 Mbps,52428 kB/s,52428.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,50 ms,386 Mbps,49459 kB/s,49459.0
192.9.236.144,443,192.9.236.144,US,San Jose,中转,48 ms,355 Mbps,45465 kB/s,45465.0
129.146.46.164,443,129.146.46.164,US,Los Angeles,中转,60 ms,290 Mbps,37171 kB/s,37171.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,108 ms,204 Mbps,26214 kB/s,26214.0
18.197.218.69,443,18.197.218.69,DE,Frankfurt,中转,124 ms,179 Mbps,22937 kB/s,22937.0
3.67.25.193,443,18.197.218.69,DE,Frankfurt,隧道,109 ms,169 Mbps,21708 kB/s,21708.0
64.110.101.125,443,64.110.101.125,JP,Osaka,中转,151 ms,168 Mbps,21504 kB/s,21504.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,145 ms,123 Mbps,15769 kB/s,15769.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,113 ms,47 Mbps,6089 kB/s,6089.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,160 ms,46 Mbps,6009 kB/s,6009.0
150.230.7.216,443,150.230.7.216,JP,Osaka,中转,158 ms,46 Mbps,5892 kB/s,5892.0
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,157 ms,44 Mbps,5755 kB/s,5755.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,100 ms,44 Mbps,5660 kB/s,5660.0
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,111 ms,42 Mbps,5383 kB/s,5383.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,39 Mbps,5118 kB/s,5118.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,151 ms,34 Mbps,4406 kB/s,4406.0
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,227 ms,9 Mbps,1181 kB/s,1181.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,15 ms,2 Mbps,305 kB/s,305.0
