中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
129.213.202.222,443,129.213.202.222,US,Ashburn,中转,5 ms,1216 Mbps,155648 kB/s,155648.0
18.216.55.100,443,18.216.55.100,US,Columbus,中转,12 ms,824 Mbps,105472 kB/s,105472.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,80 ms,411 Mbps,52633 kB/s,52633.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,78 ms,388 Mbps,49766 kB/s,49766.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,70 ms,368 Mbps,47104 kB/s,47104.0
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,70 ms,362 Mbps,46387 kB/s,46387.0
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,70 ms,351 Mbps,44953 kB/s,44953.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,57 ms,344 Mbps,44032 kB/s,44032.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,93 ms,314 Mbps,40243 kB/s,40243.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,74 ms,307 Mbps,39321 kB/s,39321.0
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,71 ms,304 Mbps,39014 kB/s,39014.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,75 ms,294 Mbps,37683 kB/s,37683.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,77 ms,191 Mbps,24473 kB/s,24473.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,171 ms,107 Mbps,13721 kB/s,13721.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,96 ms,51 Mbps,6580 kB/s,6580.0
141.144.253.109,443,141.144.253.109,DE,Frankfurt,中转,97 ms,50 Mbps,6445 kB/s,6445.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,92 ms,49 Mbps,6323 kB/s,6323.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,3 ms,48 Mbps,6174 kB/s,6174.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,86 ms,47 Mbps,6018 kB/s,6018.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,225 ms,42 Mbps,5452 kB/s,5452.0
168.138.212.80,443,168.138.212.80,JP,Osaka,中转,169 ms,40 Mbps,5150 kB/s,5150.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,237 ms,39 Mbps,5108 kB/s,5108.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,212 ms,39 Mbps,5091 kB/s,5091.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,176 ms,34 Mbps,4465 kB/s,4465.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,183 ms,34 Mbps,4363 kB/s,4363.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,202 ms,25 Mbps,3263 kB/s,3263.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,122 ms,0 Mbps,32 kB/s,32.0
